Wavelength,Flux,BestFit,SkyFlux
8790.0,94.57,94.57,94.57
8800.0,94.86,94.86,94.86
8810.0,91.96,91.96,91.96
8820.0,94.41,94.41,94.41
8830.0,93.93,93.93,93.93
8840.0,94.35,94.35,94.35
8850.0,95.47,95.47,95.47
8860.0,92.56,92.56,92.56
8870.0,92.30,92.30,92.30
8880.0,94.07,94.07,94.07
8890.0,94.37,94.37,94.37
8900.0,94.24,94.24,94.24
8910.0,93.93,93.93,93.93
8920.0,93.26,93.26,93.26
8930.0,91.80,91.80,91.80
8940.0,92.40,92.40,92.40
8950.0,92.60,92.60,92.60
8960.0,93.43,93.43,93.43
8970.0,92.69,92.69,92.69
8980.0,92.38,92.38,92.38
8990.0,91.40,91.40,91.40
9000.0,91.38,91.38,91.38
9010.0,89.83,89.83,89.83
9020.0,87.72,87.72,87.72
9030.0,92.23,92.23,92.23
9040.0,92.10,92.10,92.10
9050.0,91.80,91.80,91.80
9060.0,90.78,90.78,90.78
9070.0,91.45,91.45,91.45
9080.0,90.14,90.14,90.14
9090.0,88.55,88.55,88.55
9100.0,89.50,89.50,89.50
9110.0,89.73,89.73,89.73
9120.0,89.02,89.02,89.02
9130.0,90.02,90.02,90.02
9140.0,89.82,89.82,89.82
9150.0,88.83,88.83,88.83
9160.0,89.47,89.47,89.47
9170.0,88.86,88.86,88.86
9180.0,88.81,88.81,88.81
9190.0,89.21,89.21,89.21
9200.0,88.54,88.54,88.54
9210.0,87.03,87.03,87.03
9220.0,86.28,86.28,86.28
9230.0,83.34,83.34,83.34
9240.0,86.96,86.96,86.96
9250.0,87.64,87.64,87.64
9260.0,84.56,84.56,84.56
9270.0,87.81,87.81,87.81
9280.0,87.11,87.11,87.11
9290.0,86.95,86.95,86.95
9300.0,86.87,86.87,86.87
9310.0,87.08,87.08,87.08
9320.0,86.51,86.51,86.51
9330.0,86.96,86.96,86.96
9340.0,86.71,86.71,86.71
9350.0,85.60,85.60,85.60
9360.0,85.22,85.22,85.22
9370.0,85.37,85.37,85.37
9380.0,85.94,85.94,85.94
9390.0,85.68,85.68,85.68
9400.0,84.00,84.00,84.00
9410.0,83.15,83.15,83.15
9420.0,80.62,80.62,80.62
9430.0,83.81,83.81,83.81
9440.0,81.85,81.85,81.85
9450.0,82.44,82.44,82.44
9460.0,83.14,83.14,83.14
9470.0,82.81,82.81,82.81
9480.0,83.14,83.14,83.14
9490.0,83.30,83.30,83.30
9500.0,82.87,82.87,82.87
9510.0,82.02,82.02,82.02
9520.0,82.40,82.40,82.40
9530.0,82.05,82.05,82.05
9540.0,81.20,81.20,81.20
9550.0,76.90,76.90,76.90
9560.0,80.20,80.20,80.20
9570.0,80.58,80.58,80.58
9580.0,81.15,81.15,81.15
9590.0,81.48,81.48,81.48
9600.0,80.63,80.63,80.63
9610.0,79.98,79.98,79.98
9620.0,80.17,80.17,80.17
9630.0,79.76,79.76,79.76
9640.0,78.81,78.81,78.81
9650.0,79.58,79.58,79.58
9660.0,78.60,78.60,78.60
9670.0,79.50,79.50,79.50
9680.0,78.53,78.53,78.53
9690.0,78.79,78.79,78.79
9700.0,79.14,79.14,79.14
9710.0,78.19,78.19,78.19
9720.0,78.79,78.79,78.79
9730.0,78.15,78.15,78.15
9740.0,76.88,76.88,76.88
9750.0,77.35,77.35,77.35
9760.0,78.05,78.05,78.05
