Wavelength,Flux,BestFit,SkyFlux
4301.303,94.229,88.610,9.781
4302.293,90.000,88.540,10.522
4303.284,91.365,88.717,10.311
4304.275,92.865,89.376,9.796
4305.266,95.682,89.449,9.645
4306.258,95.944,89.284,9.646
4307.249,93.976,88.579,9.572
4308.241,93.176,88.037,9.515
4309.233,91.258,87.575,9.757
4310.226,89.470,87.612,10.205
4311.218,92.562,89.090,10.134
4312.211,90.819,88.183,9.655
4313.204,90.279,87.836,10.346
4314.197,89.975,87.923,12.511
4315.191,85.501,88.214,14.357
4316.184,88.207,89.149,15.601
4317.178,87.149,90.145,16.134
4318.173,88.678,87.901,15.884
4319.167,87.966,87.952,15.446
4320.162,84.728,88.258,15.912
4321.157,84.406,87.643,16.234
4322.152,85.950,86.198,15.334
4323.147,84.910,83.534,14.564
4324.143,79.504,82.635,13.081
4325.138,76.455,80.196,11.556
4326.134,76.516,78.805,11.222
4327.131,77.663,78.917,11.704
4328.127,77.536,78.424,12.134
4329.124,76.331,76.173,12.930
4330.121,68.761,73.511,14.223
4331.118,66.616,70.070,14.299
4332.115,68.204,67.828,13.826
4333.113,62.834,65.052,13.918
4334.111,56.655,59.950,14.106
4335.109,53.680,55.074,13.795
4336.107,49.143,50.359,13.447
4337.106,45.866,43.798,13.123
4338.104,35.493,36.391,12.414
4339.103,31.503,29.480,11.776
4340.103,25.647,24.031,11.201
4341.102,24.018,21.618,11.280
4342.102,28.873,25.466,11.381
4343.102,36.079,34.290,11.986
4344.102,40.454,40.741,12.235
4345.102,45.365,46.001,12.950
4346.103,50.916,52.875,14.132
4347.104,56.046,57.052,14.654
4348.105,58.681,60.978,15.535
4349.106,58.787,64.492,16.621
4350.108,63.545,67.260,15.849
4351.109,70.285,69.580,14.698
4352.111,67.740,71.845,13.483
4353.114,73.227,74.248,12.422
4354.116,77.934,77.648,12.224
4355.119,76.114,78.757,13.716
4356.122,78.495,79.941,13.917
4357.125,76.823,82.313,18.162
4358.128,78.627,84.101,30.226
4359.132,84.863,83.661,41.874
4360.136,85.939,84.696,43.987
4361.140,83.273,86.619,34.983
4362.144,83.331,87.403,23.856
4363.149,84.965,87.335,18.654
4364.153,84.710,87.384,16.924
4365.158,84.604,87.023,16.182
4366.164,87.766,87.276,15.530
4367.169,86.261,89.049,15.590
4368.175,85.634,88.353,15.878
4369.181,89.350,87.389,14.998
4370.187,91.264,88.710,13.797
4371.193,87.536,88.140,13.921
4372.200,89.919,88.790,14.552
4373.207,89.517,89.230,14.697
4374.214,87.881,88.335,14.557
4375.221,88.643,87.385,14.321
4376.229,88.725,87.990,14.149
4377.236,90.084,89.434,14.240
4378.244,92.091,90.028,14.256
4379.253,89.697,88.857,14.353
4380.261,87.746,88.661,15.095
4381.270,89.759,89.382,15.701
4382.279,91.109,89.047,14.742
4383.288,90.063,87.349,12.478
4384.297,91.540,85.303,10.532
4385.307,91.475,85.367,10.356
4386.317,90.427,86.631,11.887
4387.327,89.424,87.398,13.138
4388.337,92.745,87.231,13.119
4389.348,93.839,87.245,13.093
4390.359,90.492,87.195,13.748
4391.370,90.321,87.627,13.892
4392.381,90.459,88.498,13.605
4393.392,89.689,88.382,13.968
4394.404,89.550,87.252,14.107
4395.416,89.232,87.724,13.367
4396.428,90.579,87.438,12.860
4397.441,93.253,88.603,13.697
4398.453,91.533,89.502,14.782
4399.466,89.228,88.593,15.105
4400.479,91.206,86.759,14.474
4401.493,92.347,86.514,14.343
4402.506,89.482,87.204,14.583
4403.520,85.755,87.528,14.397
4404.534,87.548,86.949,13.580
4405.549,91.807,86.143,12.726
4406.563,90.900,86.015,13.739
4407.578,90.451,86.532,14.757
4408.593,88.752,87.156,14.151
4409.608,91.680,86.548,14.477
4410.624,89.399,87.421,14.492
4411.639,88.489,88.781,15.779
4412.655,89.446,88.488,16.029
4413.671,91.773,88.141,15.678
4414.688,89.551,86.648,15.668
4415.704,89.288,84.951,15.195
4416.721,88.374,85.276,15.412
4417.738,87.775,86.621,15.644
4418.756,88.102,86.813,15.309
4419.773,87.631,86.642,15.898
4420.791,88.141,88.005,17.204
4421.809,86.888,86.791,17.203
4422.827,86.710,86.563,16.234
4423.846,90.048,87.609,16.072
4424.865,86.533,87.689,15.560
4425.884,91.894,87.460,15.180
4426.903,90.327,86.265,15.164
